IMU1AccelX;IMU1AccelY;IMU1AccelZ;IMU1GyroX;IMU1GyroY;IMU1GyroZ;IMU2AccelX;IMU2AccelY;IMU2AccelZ;IMU2GyroX;IMU2GyroY;IMU2GyroZ;IMU3AccelX;IMU3AccelY;IMU3AccelZ;IMU3GyroX;IMU3GyroY;IMU3GyroZ;IMU4AccelX;IMU4AccelY;IMU4AccelZ;IMU4GyroX;IMU4GyroY;IMU4GyroZ
-0.1667480468;-0.5024414062;1.2211914062;-12.0467147827;3.1333708763;-5.4653334617;-0.2780761718;-0.5820312500;1.1628417968;9.7853469848;-4.0422019958;5.3438267707;-0.2009277343;-0.5407714843;1.1433105468;10.8387813568;-8.5612850189;8.6873378753;-0.1511230468;-0.4853515625;1.1206054687;-1.3596916198;-0.6070871353;-0.5951043128;
-0.2209472656;-0.5559082031;1.1567382812;1.3273313045;0.2173403501;0.4125292301;-0.2202148437;-0.5546875000;1.1535644531;-0.5199971199;-0.2559421062;-0.3355623722;-0.2189941406;-0.5476074218;1.1606445312;-0.2299206256;-0.3933466720;-0.2744936704;-0.2202148437;-0.5485839843;1.1672363281;-0.5199971199;-0.5154840946;0.0613842010;
-0.9650878906;-0.1232910156;0.4829101562;-1.7566382884;0.5684852600;-0.2897608566;-0.9501953125;-0.1166992187;0.4570312500;-1.8787755966;-0.1948734474;0.0461170101;-0.9643554687;-0.1203613281;0.4824218750;-1.1154167652;-0.7750260829;0.2598574638;-0.9562988281;-0.1181640625;0.4799804687;-1.2222871780;-0.5612855911;0.2445902824;
-0.9653320312;-0.1123046875;0.4890136718;-2.9780120849;0.0952029228;-0.0302188396;-0.9643554687;-0.1142578125;0.4877929687;-3.4970960617;1.1028366088;-0.3508295536;-0.9548339843;-0.1125488281;0.4826660156;-3.4512948989;1.2249739170;-0.6867074489;-0.9616699218;-0.1215820312;0.4748535156;-2.3367910385;1.2249739170;-0.7477761268;
-0.9582519531;-0.1215820312;0.4836425781;1.0983235836;0.4158136844;-1.3737303018;-0.9641113281;-0.1252441406;0.4909667968;1.6632090568;1.1181037425;-1.2057913541;-0.9645996093;-0.1210937500;0.4877929687;1.4647357463;1.7440578937;-1.0836539268;-0.9633789062;-0.1198730468;0.4846191406;1.3578655719;1.7593250274;-0.7477761268;
-0.9567871093;-0.1176757812;0.4772949218;1.2967967987;1.9119968414;-0.1065547466;-0.9558105468;-0.1242675781;0.4575195312;1.5868732929;0.9196302413;-0.1370891094;-0.9584960937;-0.1135253906;0.4772949218;1.6479418277;0.4158136844;-0.0760203886;-0.9599609375;-0.1303710937;0.4687500000;1.0372549295;0.0494014024;0.0155826807;
-0.9619140625;-0.1181640625;0.4748535156;0.5487051963;0.0799357891;-0.7325089454;-0.9660644531;-0.1215820312;0.4848632812;-0.5505313873;0.5532181262;-0.3050280094;-0.9580078125;-0.1232910156;0.4763183593;-1.4970963001;0.5684852600;-0.1828906250;-0.9599609375;-0.1118164062;0.4743652343;-1.6039664745;0.2936762619;-0.3813638877;
-0.9470214843;-0.1154785156;0.4543457031;0.9914533615;-2.1032702922;-0.8546463012;-0.9572753906;-0.1389160156;0.4787597656;3.2204608917;-3.1719727516;0.2293231487;-0.9750976562;-0.1127929687;0.4985351562;2.4571022987;-2.0880031585;0.5346665859;-0.9687500000;-0.1113281250;0.4885253906;1.3883998394;-0.1032704114;0.1529872417;
-0.9641113281;-0.1257324218;0.4777832031;8.1670265197;6.1562714576;-0.2439593315;-0.9570312500;-0.1193847656;0.4736328125;9.1593923568;6.8432941436;0.1682544326;-0.9504394531;-0.1215820312;0.4536132812;11.3120632171;5.6829891204;0.5804681301;-0.9687500000;-0.1372070312;0.4682617187;11.9380187988;5.4845156669;2.3667278289;
-0.9448242187;-0.1101074218;0.4323730468;15.7090110778;-1.1109039783;4.7484073638;-0.9675292968;-0.0969238281;0.4687500000;17.0830554962;-1.6605222225;4.3209261894;-0.9704589843;-0.1096191406;0.4748535156;15.4342021942;-1.3093771934;4.4430637359;-0.9584960937;-0.1206054687;0.4729003906;13.9838199615;-1.0193009376;5.2522239685;
-0.9648437500;-0.1049804687;0.4921875000;4.7471785545;2.2478747367;6.6720714569;-0.9628906250;-0.0996093750;0.4565429687;3.2662625312;0.9348976135;6.0766515731;-0.9628906250;-0.0844726562;0.4699707031;3.1899266242;0.1715388298;5.5270333290;-0.9570312500;-0.0734863281;0.4672851562;2.7624456882;-0.5002169609;4.1682543754;
-0.9731445312;-0.0827636718;0.4711914062;-1.1917526721;-6.5002169609;2.3514606952;-0.9577636718;-0.0793457031;0.4777832031;-2.8253407478;-6.4086136817;1.4506971836;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
-0.7756347656;0.4135742187;0.0942382812;1.3731327056;4.7516913414;-2.3355624675;-0.9643554687;-0.1035156250;0.5034179687;-5.0238137245;-5.0498352050;-0.0302188396;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
-0.7722167968;0.4199218750;0.0954589843;9.8616828918;3.9883327484;-2.9767837524;-0.9682617187;-0.0932617187;0.4995117187;1.9532854080;-3.2025070190;0.7789414405;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;-0.9487304687;-0.1152343750;0.5129394531;-4.9932794570;-3.4467816352;-1.0225852727;-0.9594726562;-0.0791015625;0.5478515625;-6.5963330268;-3.5383849143;-2.0149517059;-0.9438476562;-0.0915527343;0.5219726562;-4.8711419105;-5.5841865539;-3.8317456245;
-0.7810058593;0.3977050781;0.0742187500;-3.3749589920;5.5303173065;-10.9767837524;-0.9401855468;-0.0991210937;0.5346679687;-5.6497678756;-10.9887666702;-2.4271655082;-0.9492187500;-0.0961914062;0.5451660156;-4.8864092826;-10.9734992980;-2.9462491989;-0.9521484375;-0.1000976562;0.5681152343;-4.3978595733;-10.1185379028;-2.8393791198;
-0.7802734375;0.3957519531;0.0686035156;9.6326751708;15.1333703994;-7.8317456245;-0.9360351562;-0.1191406250;0.5351562500;-6.0009131431;-2.1338047981;1.5117659568;-0.9533691406;-0.1040039062;0.5537109375;-3.8787755966;-2.8971633911;1.8323766708;-0.9462890625;-0.0979003906;0.5622558593;-2.9474778175;-1.8131940841;2.1529872417;
-0.7878417968;0.4118652343;0.0883789062;8.6555747985;-9.9811325073;-0.7935776710;-0.9416503906;-0.1103515625;0.5725097656;-2.2146534919;1.4539816379;3.0995521545;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;0.0000000000;0.0000000000;0.0000000000;2.2280945777;-1.6452550888;-0.5645699977;
